apt_name,trade_price,jeonse_price,gap_man,gap_ratio,region_code,region_name
선경1차(1동-7동),553500.0,153333.33333333334,400166.6666666666,0.723,11680,서울강남구
성원대치2단지아파트,166222.22222222222,45701.6129032258,120520.60931899642,0.7251,11680,서울강남구
세곡푸르지오,184875.0,77921.42857142857,106953.57142857143,0.5785,11680,서울강남구
수서,170250.0,48307.692307692305,121942.30769230769,0.7163,11680,서울강남구
신동아,176166.66666666666,44991.09090909091,131175.57575757575,0.7446,11680,서울강남구
신동아(22),143000.0,43328.0,99672.0,0.697,11680,서울강남구
신현대11차,970000.0,200000.0,770000.0,0.7938,11680,서울강남구
신현대12차,795571.4285714285,136000.0,659571.4285714285,0.8291,11680,서울강남구
신현대9차,640833.3333333334,110000.0,530833.3333333334,0.8283,11680,서울강남구
"쌍용대치아파트1동,2동,3동,5동,6동",470000.0,85750.0,384250.0,0.8176,11680,서울강남구
쌍용플래티넘,240000.0,168000.0,72000.0,0.3,11680,서울강남구
아이파크,821000.0,370000.0,451000.0,0.5493,11680,서울강남구
아카데미스위트1,277000.0,157500.0,119500.0,0.4314,11680,서울강남구
아크로힐스논현,297000.0,128000.0,169000.0,0.569,11680,서울강남구
압구정대원칸타빌아파트,165000.0,91416.66666666667,73583.33333333333,0.446,11680,서울강남구
역삼래미안,300000.0,112909.09090909091,187090.9090909091,0.6236,11680,서울강남구
역삼자이,327000.0,157166.66666666666,169833.33333333334,0.5194,11680,서울강남구
역삼푸르지오,279000.0,115712.85714285714,163287.14285714284,0.5853,11680,서울강남구
우민,143000.0,75000.0,68000.0,0.4755,11680,서울강남구
우성7,303000.0,74020.0,228980.0,0.7557,11680,서울강남구
은마,365642.85714285716,73236.66666666667,292406.1904761905,0.7997,11680,서울강남구
이지마루역삼,39500.0,34000.0,5500.0,0.1392,11680,서울강남구
청담대림이-편한세상,255000.0,102900.0,152100.0,0.5965,11680,서울강남구
청담자이,437833.3333333333,127142.85714285714,310690.47619047615,0.7096,11680,서울강남구
청담현대3차아파트,240000.0,75700.0,164300.0,0.6846,11680,서울강남구
타워팰리스1,517000.0,201050.0,315950.0,0.6111,11680,서울강남구
타워팰리스2,365000.0,186000.0,179000.0,0.4904,11680,서울강남구
타워팰리스3,464000.0,250000.0,214000.0,0.4612,11680,서울강남구
푸른마을아파트101동~111동,230000.0,77028.57142857143,152971.42857142858,0.6651,11680,서울강남구
하이페리온,315000.0,177000.0,138000.0,0.4381,11680,서울강남구
한보미도맨션1,396000.0,115458.33333333333,280541.6666666667,0.7084,11680,서울강남구
한솔마을,262500.0,76250.0,186250.0,0.7095,11680,서울강남구
한양1차(영동한양),477000.0,74458.33333333333,402541.6666666667,0.8439,11680,서울강남구
한양3,600000.0,110000.0,490000.0,0.8167,11680,서울강남구
한양6,520000.0,95000.0,425000.0,0.8173,11680,서울강남구
한양수자인어반게이트,18000.0,18900.0,-900.0,-0.05,11680,서울강남구
한일,229000.0,103000.0,126000.0,0.5502,11680,서울강남구
한화진넥스빌,40450.0,27975.0,12475.0,0.3084,11680,서울강남구
현대13차(208~211동),610000.0,96666.66666666667,513333.3333333333,0.8415,11680,서울강남구
"현대14차(203,204,205,206동)",586000.0,99750.0,486250.0,0.8298,11680,서울강남구
"현대1차(12,13,21,22,31,32,33동)",660000.0,128537.5,531462.5,0.8052,11680,서울강남구
현대1차101동~106동,354333.3333333333,111250.0,243083.3333333333,0.686,11680,서울강남구
현대2,325000.0,120500.0,204500.0,0.6292,11680,서울강남구
현대3차(61~64동),465000.0,87000.0,378000.0,0.8129,11680,서울강남구
"현대5차(71,72동)",550000.0,73500.0,476500.0,0.8664,11680,서울강남구
"현대6차(78~81,83,84,86,87동)",768500.0,249000.0,519500.0,0.676,11680,서울강남구
현대8차(성수현대:91~95동),635000.0,120500.0,514500.0,0.8102,11680,서울강남구
현대아파트1동~3동,235000.0,95000.0,140000.0,0.5957,11680,서울강남구
현대아파트3,401000.0,100500.0,300500.0,0.7494,11680,서울강남구
현대힐스테이트2단지,346500.0,110587.5,235912.5,0.6808,11680,서울강남구
urbanplace,24500.0,17500.0,7000.0,0.2857,11650,서울서초구
강변,236000.0,90625.0,145375.0,0.616,11650,서울서초구
대림,219000.0,95000.0,124000.0,0.5662,11650,서울서초구
대림e-편한세상1,307500.0,165000.0,142500.0,0.4634,11650,서울서초구
대림서초리시온,58200.0,36750.0,21450.0,0.3686,11650,서울서초구
동고,158000.0,62392.857142857145,95607.14285714286,0.6051,11650,서울서초구
디에이치반포라클라스,389000.0,182450.0,206550.0,0.531,11650,서울서초구
래미안방배아트힐(1008-2),274000.0,126000.0,148000.0,0.5401,11650,서울서초구
래미안서초에스티지,335000.0,189000.0,146000.0,0.4358,11650,서울서초구
래미안서초에스티지S,325000.0,159816.66666666666,165183.33333333334,0.5083,11650,서울서초구
래미안서초유니빌,51000.0,36750.0,14250.0,0.2794,11650,서울서초구
래미안신반포팰리스,450000.0,120985.7,329014.3,0.7311,11650,서울서초구
래미안원베일리,855500.0,271435.0,584065.0,0.6827,11650,서울서초구
래미안원펜타스,940000.0,183427.77777777778,756572.2222222222,0.8049,11650,서울서초구
래미안퍼스티지,672500.0,161767.0,510733.0,0.7595,11650,서울서초구
롯데캐슬아르떼,347000.0,77551.25,269448.75,0.7765,11650,서울서초구
롯데캐슬헤론,263000.0,178500.0,84500.0,0.3213,11650,서울서초구
"마제스타시티(힐스테이트서리풀101,102동)",204333.33333333334,110000.0,94333.33333333334,0.4617,11650,서울서초구
메이플자이,451000.0,98507.56756756757,352492.4324324324,0.7816,11650,서울서초구
밀라텔쉐르빌,79750.0,62800.0,16950.0,0.2125,11650,서울서초구
반포두산힐스빌,119000.0,45000.0,74000.0,0.6218,11650,서울서초구
반포래미안아이파크,459500.0,171622.0,287878.0,0.6265,11650,서울서초구
반포르엘,690000.0,176368.57142857142,513631.4285714286,0.7444,11650,서울서초구
반포리체,337750.0,158177.27272727274,179572.72727272726,0.5317,11650,서울서초구
반포미도,404000.0,80583.33333333333,323416.6666666667,0.8005,11650,서울서초구
반포미도2차아파트,290000.0,65850.0,224150.0,0.7729,11650,서울서초구
